Stock Symbol,Strategy Name,Trade Type,Trade Entry Time,Trade Exit Time,Entry Price,Exit Price,Reason for Exit,Profit/Loss
INFY.NS,rsi_strategy,Buy,2023-03-10 00:00:00+05:30,2023-03-13 00:00:00+05:30,1409.397705078125,1374.4871826171875,Trailing Stop Loss,-210.6533807850113
INFY.NS,rsi_strategy,Buy,2023-03-14 00:00:00+05:30,2023-03-16 00:00:00+05:30,1360.0250244140625,1344.7965087890625,Trailing Stop Loss,-92.86743558886064
INFY.NS,rsi_strategy,Buy,2023-03-17 00:00:00+05:30,2023-03-20 00:00:00+05:30,1360.6954345703125,1344.365478515625,Trailing Stop Loss,-98.42072080232995
INFY.NS,rsi_strategy,Buy,2023-03-21 00:00:00+05:30,2023-03-23 00:00:00+05:30,1331.96240234375,1316.4947509765625,Trailing Stop Loss,-94.09169364012702
INFY.NS,rsi_strategy,Buy,2023-03-24 00:00:00+05:30,2023-04-03 00:00:00+05:30,1322.3370361328125,1351.261474609375,Trailing Stop Loss,175.17366550134977
INFY.NS,rsi_strategy,Buy,2023-04-19 00:00:00+05:30,2023-05-05 00:00:00+05:30,1180.156982421875,1205.9207763671875,Trailing Stop Loss,178.6542338661916
INFY.NS,rsi_strategy,Sell,2023-05-30 00:00:00+05:30,2023-06-12 00:00:00+05:30,1267.9359130859375,1254.0147705078125,Trailing Stop Loss,91.8120853575003
INFY.NS,rsi_strategy,Sell,2023-07-13 00:00:00+05:30,2023-07-14 00:00:00+05:30,1325.0169677734375,1384.0802001953125,Trailing Stop Loss,-376.84290252459454
INFY.NS,rsi_strategy,Sell,2023-07-17 00:00:00+05:30,2023-07-18 00:00:00+05:30,1381.168212890625,1431.884033203125,Trailing Stop Loss,-296.59091449485146
INFY.NS,rsi_strategy,Sell,2023-07-19 00:00:00+05:30,2023-07-26 00:00:00+05:30,1431.641357421875,1309.2440185546875,Trailing Stop Loss,665.1988155454469
INFY.NS,rsi_strategy,Sell,2023-08-10 00:00:00+05:30,2023-08-14 00:00:00+05:30,1348.312255859375,1352.631591796875,Trailing Stop Loss,-27.056263567710232
INFY.NS,rsi_strategy,Sell,2023-08-16 00:00:00+05:30,2023-08-21 00:00:00+05:30,1376.848876953125,1364.1336669921875,Trailing Stop Loss,77.74725783847681
INFY.NS,rsi_strategy,Sell,2023-09-01 00:00:00+05:30,2023-09-04 00:00:00+05:30,1401.45458984375,1422.08056640625,Trailing Stop Loss,-125.0476732890829
INFY.NS,rsi_strategy,Sell,2023-09-05 00:00:00+05:30,2023-09-12 00:00:00+05:30,1435.4755859375,1457.0235595703125,Trailing Stop Loss,-125.66417899579139
INFY.NS,rsi_strategy,Sell,2023-09-13 00:00:00+05:30,2023-10-04 00:00:00+05:30,1454.3543701171875,1401.93994140625,Signal,297.1753992837573
INFY.NS,rsi_strategy,Buy,2023-10-26 00:00:00+05:30,2023-11-01 00:00:00+05:30,1336.6121826171875,1331.4012451171875,Trailing Stop Loss,-33.30573835068138
INFY.NS,rsi_strategy,Buy,2023-11-02 00:00:00+05:30,2023-11-09 00:00:00+05:30,1347.132568359375,1351.7044677734375,Trailing Stop Loss,28.880086626617043
INFY.NS,rsi_strategy,Sell,2023-11-16 00:00:00+05:30,2023-11-22 00:00:00+05:30,1420.6268310546875,1433.3101806640625,Trailing Stop Loss,-76.23203700417058
INFY.NS,rsi_strategy,Sell,2023-11-23 00:00:00+05:30,2023-11-29 00:00:00+05:30,1424.9036865234375,1435.079833984375,Trailing Stop Loss,-60.4347408354563
INFY.NS,rsi_strategy,Sell,2023-12-01 00:00:00+05:30,2023-12-06 00:00:00+05:30,1427.9024658203125,1449.532958984375,Trailing Stop Loss,-127.27524967254887
INFY.NS,rsi_strategy,Sell,2023-12-15 00:00:00+05:30,2023-12-22 00:00:00+05:30,1551.8841552734375,1536.6444091796875,Trailing Stop Loss,81.25784305469703
INFY.NS,rsi_strategy,Sell,2024-01-24 00:00:00+05:30,2024-02-02 00:00:00+05:30,1647.2545166015625,1664.9029541015625,Trailing Stop Loss,-89.52337515444901
INFY.NS,rsi_strategy,Buy,2024-03-07 00:00:00+05:30,2024-03-15 00:00:00+05:30,1589.2947998046875,1606.550048828125,Trailing Stop Loss,89.7489943761999
